"","scene","month","mon_avg"
"1","baseline_q",1,348.447484
"2","baseline_q",2,301.8953584
"3","baseline_q",3,230.2999336
"4","baseline_q",4,592.0349832
"5","baseline_q",5,2087.6049384
"6","baseline_q",6,3041.9925688
"7","baseline_q",7,2554.8269472
"8","baseline_q",8,1533.5434728
"9","baseline_q",9,1140.4147
"10","baseline_q",10,1322.80611709091
"11","baseline_q",11,697.921658909091
"12","baseline_q",12,558.971116363636
"13","red_25_percent",1,1049.0304132
"14","red_25_percent",2,924.228259666667
"15","red_25_percent",3,815.120650866667
"16","red_25_percent",4,1863.19143550667
"17","red_25_percent",5,3006.28783346667
"18","red_25_percent",6,3070.78000165333
"19","red_25_percent",7,2603.85613314667
"20","red_25_percent",8,1942.09607024
"21","red_25_percent",9,2276.59815888
"22","red_25_percent",10,2891.70452614667
"23","red_25_percent",11,2168.3901036
"24","red_25_percent",12,1535.33602053333
